,CODIGOCIE,ESCOLA,DIRETORIA,MUNICIPIO,SERIE,IDPort,IDMat,IndDesemp,IndFluxo,IDESP,META,ORDEM,_REGICAO_NOME,_ANO,_DIRETORIA_ID,_MUNICIPIO_ID
0,014461,PAULO ARAUJO NOVAES DOUTOR,AVARE,AVARE,9º ANO EF,"3,7473","3,0570","3,40","0,9849","3,35","3,60",2,INTERIOR,2019,20302,194
1,014461,PAULO ARAUJO NOVAES DOUTOR,AVARE,AVARE,3º ANO EM,"2,9137","2,1377","2,53","0,9116","2,31","2,98",3,INTERIOR,2019,20302,194
2,906815,VILA DO LAGO,ASSIS,TARUMA,9º ANO EF,"3,6547","2,8917","3,27","0,9312","3,05","3,68",2,INTERIOR,2019,21001,731
3,906815,VILA DO LAGO,ASSIS,TARUMA,3º ANO EM,"3,9257","1,9607","2,94","0,9191","2,70","2,90",3,INTERIOR,2019,21001,731
4,033133,MARIA MAGDALENA DE OLIVEIRA DONA COTA,ASSIS,TARUMA,9º ANO EF,"3,6737","2,9253","3,30","0,9465","3,12","3,38",2,INTERIOR,2019,21001,731
5,033133,MARIA MAGDALENA DE OLIVEIRA DONA COTA,ASSIS,TARUMA,3º ANO EM,"4,3137","2,8570","3,59","0,8519","3,06","3,24",3,INTERIOR,2019,21001,731
6,014679,MATILDE VIEIRA,AVARE,AVARE,9º ANO EF,"4,4333","3,8283","4,13","0,9949","4,11","4,30",2,INTERIOR,2019,20302,194
7,014679,MATILDE VIEIRA,AVARE,AVARE,3º ANO EM,"3,1320","2,0890","2,61","0,9465","2,47","3,18",3,INTERIOR,2019,20302,194
8,900862,DAVID JOSE LUZ PROF,ASSIS,TARUMA,9º ANO EF,"3,5417","3,0110","3,28","0,9355","3,07","3,68",2,INTERIOR,2019,21001,731
9,900862,DAVID JOSE LUZ PROF,ASSIS,TARUMA,3º ANO EM,"3,3333","1,5790","2,46","0,9438","2,32","2,66",3,INTERIOR,2019,21001,731
10,038908,MARIA IZABEL CRUZ PIMENTEL DONA,AVARE,AVARE,9º ANO EF,"3,7400","3,6033","3,67","0,9820","3,60","4,01",2,INTERIOR,2019,20302,194
11,038908,MARIA IZABEL CRUZ PIMENTEL DONA,AVARE,AVARE,3º ANO EM,"2,1387","1,3667","1,75","0,8598","1,50","2,21",3,INTERIOR,2019,20302,194
12,014515,PAULO DELICIO,AVARE,AGUAS DE SANTA BARBARA,9º ANO EF,"4,1667","4,4107","4,29","0,9971","4,28","4,45",2,INTERIOR,2019,20302,607
13,014515,PAULO DELICIO,AVARE,AGUAS DE SANTA BARBARA,3º ANO EM,"2,8683","2,2857","2,58","0,9709","2,50","3,33",3,INTERIOR,2019,20302,607
14,014503,PEDRO BENTO ALVES,AVARE,ARANDU,9º ANO EF,"3,9083","3,1410","3,52","0,9725","3,42","3,66",2,INTERIOR,2019,20302,180
15,014503,PEDRO BENTO ALVES,AVARE,ARANDU,3º ANO EM,"2,4837","1,8810","2,18","0,9367","2,04","2,27",3,INTERIOR,2019,20302,180
16,914484,ERUCE PAULUCCI PROFESSOR,AVARE,AVARE,9º ANO EF,"3,2290","2,4360","2,83","0,9477","2,68","2,97",2,INTERIOR,2019,20302,194
17,914484,ERUCE PAULUCCI PROFESSOR,AVARE,AVARE,3º ANO EM,"0,9803","0,4763","0,73","0,9155","0,67","2,55",3,INTERIOR,2019,20302,194
18,014497,JOAO CRUZ CORONEL,AVARE,AVARE,9º ANO EF,"3,6867","3,3333","3,51","0,9811","3,44","3,82",2,INTERIOR,2019,20302,194
19,014497,JOAO CRUZ CORONEL,AVARE,AVARE,3º ANO EM,"3,2457","2,0547","2,65","0,9367","2,48","2,81",3,INTERIOR,2019,20302,194
20,905185,COTA LEONEL DONA,AVARE,AVARE,9º ANO EF,"4,7797","3,9257","4,35","0,9644","4,20","4,38",2,INTERIOR,2019,20302,194
21,905185,COTA LEONEL DONA,AVARE,AVARE,3º ANO EM,"3,8567","2,7450","3,30","0,9038","2,98","3,16",3,INTERIOR,2019,20302,194
22,024259,VIRGILIO GARCIA CAPITAO,RIBEIRAO PRETO,SAO SIMAO,9º ANO EF,"3,1110","2,9997","3,06","1,0000","3,06","3,33",2,INTERIOR,2019,20507,656
23,024259,VIRGILIO GARCIA CAPITAO,RIBEIRAO PRETO,SAO SIMAO,3º ANO EM,"3,8707","1,6400","2,76","1,0000","2,76","2,96",3,INTERIOR,2019,20507,656
24,014588,JOAO TEIXEIRA DE ARAUJO PROFESSOR,AVARE,AVARE,9º ANO EF,"3,2007","2,9387","3,07","0,9573","2,94","3,30",2,INTERIOR,2019,20302,194
25,014588,JOAO TEIXEIRA DE ARAUJO PROFESSOR,AVARE,AVARE,3º ANO EM,"3,6667","2,3810","3,02","0,8475","2,56","2,77",3,INTERIOR,2019,20302,194
26,045226,EMILIO IMMOOS PADRE,AVARE,AVARE,9º ANO EF,"3,3697","2,7383","3,05","0,9720","2,96","3,23",2,INTERIOR,2019,20302,194
27,918489,CELSO FERREIRA DA SILVA PROFESSOR,AVARE,AVARE,9º ANO EF,"2,9670","2,8507","2,91","0,9886","2,88","3,16",2,INTERIOR,2019,20302,194
28,038957,JORDINA AMARAL ARRUDA PROFESSORA,SOROCABA,SOROCABA,9º ANO EF,"3,8097","2,5007","3,16","0,9894","3,13",,2,INTERIOR,2021,20308,669
29,038957,JORDINA AMARAL ARRUDA PROFESSORA,SOROCABA,SOROCABA,3º ANO EM,"2,4527","1,3210","1,89","0,9465","1,79",,3,INTERIOR,2021,20308,669
30,024235,SIMAO DA SILVA,RIBEIRAO PRETO,SAO SIMAO,5º ANO EF,"6,0000","4,4767","5,24","1,0000","5,24","5,43",1,INTERIOR,2019,20507,656
31,905324,JOAO MACHADO DE ARAUJO DOUTOR,SOROCABA,SOROCABA,5º ANO EF,"5,2093","4,4197","4,81","1,0000","4,81",,1,INTERIOR,2021,20308,669
32,011484,WALTER SCHEPIS PROFESSOR,SANTOS,GUARUJA,9º ANO EF,"3,4787","2,5887","3,03","0,9957","3,02",,2,INTERIOR,2021,20102,335
33,011484,WALTER SCHEPIS PROFESSOR,SANTOS,GUARUJA,3º ANO EM,"2,3150","0,8023","1,56","0,9900","1,54",,3,INTERIOR,2021,20102,335
34,011587,VICENTE DE CARVALHO,SANTOS,GUARUJA,9º ANO EF,"4,3480","3,3817","3,86","1,0000","3,86",,2,INTERIOR,2021,20102,335
35,011587,VICENTE DE CARVALHO,SANTOS,GUARUJA,3º ANO EM,"3,2433","1,7570","2,50","1,0000","2,50",,3,INTERIOR,2021,20102,335
36,011642,ZENON CLEANTES DE MOURA PROFESSOR,SANTOS,CUBATAO,9º ANO EF,"2,9333","2,1333","2,53","0,9873","2,50",,2,INTERIOR,2021,20102,283
37,011642,ZENON CLEANTES DE MOURA PROFESSOR,SANTOS,CUBATAO,3º ANO EM,"2,8333","1,3333","2,08","0,9787","2,04",,3,INTERIOR,2021,20102,283
38,474873,WALDOMIRO MARIANI PROFESSOR,SANTOS,CUBATAO,9º ANO EF,"2,4490","1,9763","2,21","1,0000","2,21",,2,INTERIOR,2021,20102,283
39,474873,WALDOMIRO MARIANI PROFESSOR,SANTOS,CUBATAO,3º ANO EM,"1,6057","0,7637","1,18","1,0000","1,18",,3,INTERIOR,2021,20102,283
40,474859,PARQUE DOS SONHOS 9A,SANTOS,CUBATAO,5º ANO EF,"3,8350","3,2413","3,54","1,0000","3,54",,1,INTERIOR,2021,20102,283
41,474859,PARQUE DOS SONHOS 9A,SANTOS,CUBATAO,9º ANO EF,"3,8233","2,8437","3,33","1,0000","3,33",,2,INTERIOR,2021,20102,283
42,011691,MARIA HELENA DUARTE CAETANO PROFESSORA,SANTOS,CUBATAO,5º ANO EF,"3,8233","4,2163","4,02","1,0000","4,02",,1,INTERIOR,2021,20102,283
43,011691,MARIA HELENA DUARTE CAETANO PROFESSORA,SANTOS,CUBATAO,9º ANO EF,"2,2667","1,8667","2,07","1,0000","2,07",,2,INTERIOR,2021,20102,283
44,011691,MARIA HELENA DUARTE CAETANO PROFESSORA,SANTOS,CUBATAO,3º ANO EM,"0,4763","0,0000","0,24","1,0000","0,24",,3,INTERIOR,2021,20102,283
45,021076,SUD MENNUCCI,PIRACICABA,PIRACICABA,3º ANO EM,"3,6020","2,5273","3,06","1,0000","3,06",,3,INTERIOR,2021,20410,535
46,021180,SAMUEL DE CASTRO NEVES DOUTOR,PIRACICABA,PIRACICABA,9º ANO EF,"4,8633","4,6990","4,78","1,0000","4,78",,2,INTERIOR,2021,20410,535
47,021180,SAMUEL DE CASTRO NEVES DOUTOR,PIRACICABA,PIRACICABA,3º ANO EM,"3,3333","2,3333","2,83","1,0000","2,83",,3,INTERIOR,2021,20410,535
48,020965,RIO BRANCO BARAO DO,PIRACICABA,PIRACICABA,9º ANO EF,"3,5353","2,9293","3,23","1,0000","3,23",,2,INTERIOR,2021,20410,535
49,020965,RIO BRANCO BARAO DO,PIRACICABA,PIRACICABA,3º ANO EM,"3,5710","2,5007","3,04","0,9873","3,00",,3,INTERIOR,2021,20410,535
50,905297,JOAO RODRIGUES BUENO,SOROCABA,SOROCABA,9º ANO EF,"4,2503","3,0647","3,66","0,9885","3,62",,2,INTERIOR,2021,20308,669
51,905297,JOAO RODRIGUES BUENO,SOROCABA,SOROCABA,3º ANO EM,"3,0853","1,7187","2,40","0,9749","2,34",,3,INTERIOR,2021,20308,669
52,042146,WALDEMAR DA SILVA RIGOTTO PROFESSOR,SANTOS,GUARUJA,9º ANO EF,"3,2143","2,1427","2,68","1,0000","2,68",,2,INTERIOR,2021,20102,335
53,042146,WALDEMAR DA SILVA RIGOTTO PROFESSOR,SANTOS,GUARUJA,3º ANO EM,"1,5383","0,5127","1,03","1,0000","1,03",,3,INTERIOR,2021,20102,335
