CODIGOCIE,ESCOLA,DIRETORIA,MUNICIPIO,SERIE,IDPort,IDMat,IndDesemp,IndFluxo,IDESP,META,ORDEM,_REGICAO_NOME,_ANO,_DIRETORIA_ID,_MUNICIPIO_ID,_ESCOLA_ID,_ERROR_ID,_ERROR_INFOS,error_id,request_data
015647,LEONOR FERNANDES DA SILVA PROFA,ITU,SALTO,9º ANO EF,"4,4193","3,9090","4,16","0,9831","4,09","4,67",2.0,INTERIOR,2019,20306,600,015647,,,,
015647,LEONOR FERNANDES DA SILVA PROFA,ITU,SALTO,3º ANO EM,"3,0420","2,1210","2,58","0,9201","2,37","2,84",3.0,INTERIOR,2019,20306,600,015647,,,,
015635,PAULA SANTOS PROF,ITU,SALTO,9º ANO EF,"4,2320","3,4950","3,86","1,0000","3,86","4,12",2.0,INTERIOR,2019,20306,600,015635,,,,
015635,PAULA SANTOS PROF,ITU,SALTO,3º ANO EM,"3,7260","2,2540","2,99","1,0000","2,99","3,17",3.0,INTERIOR,2019,20306,600,015635,,,,
046930,JOSEANO COSTA PINTO PROF,ITU,SALTO,9º ANO EF,"3,3043","3,3903","3,35","0,9236","3,09","4,76",2.0,INTERIOR,2019,20306,600,046930,,,,
046930,JOSEANO COSTA PINTO PROF,ITU,SALTO,3º ANO EM,"3,5783","2,5430","3,06","0,9387","2,87","3,06",3.0,INTERIOR,2019,20306,600,046930,,,,
914514,OTILIA DE PAULA LEITE PROFA,ITU,SALTO,9º ANO EF,"4,6970","3,7273","4,21","0,9970","4,20","4,38",2.0,INTERIOR,2019,20306,600,914514,,,,
914514,OTILIA DE PAULA LEITE PROFA,ITU,SALTO,3º ANO EM,"3,7637","2,1213","2,94","0,9955","2,93","3,12",3.0,INTERIOR,2019,20306,600,914514,,,,
039755,MIRINHA TONELLO,ITU,SALTO,9º ANO EF,"4,1267","3,2867","3,71","1,0000","3,71","3,93",2.0,INTERIOR,2019,20306,600,039755,,,,
039755,MIRINHA TONELLO,ITU,SALTO,3º ANO EM,"3,8097","1,9047","2,86","0,9882","2,83","3,02",3.0,INTERIOR,2019,20306,600,039755,,,,
046929,MARIA NAZARENA CORREA IRMA,ITU,SALTO,9º ANO EF,"3,9070","2,8383","3,37","0,9176","3,09","3,35",2.0,INTERIOR,2019,20306,600,046929,,,,
046929,MARIA NAZARENA CORREA IRMA,ITU,SALTO,3º ANO EM,"3,5337","1,8650","2,70","0,9381","2,53","3,20",3.0,INTERIOR,2019,20306,600,046929,,,,
015763,TANCREDO DO AMARAL,ITU,SALTO,9º ANO EF,"4,3333","3,9493","4,14","0,9951","4,12","4,31",2.0,INTERIOR,2019,20306,600,015763,,,,
015763,TANCREDO DO AMARAL,ITU,SALTO,3º ANO EM,"3,3340","1,6137","2,47","0,9876","2,44","3,74",3.0,INTERIOR,2019,20306,600,015763,,,,
905276,MARIA DE LOURDES MORAES COSTELA PROFA,ITU,SALTO,9º ANO EF,"3,4800","3,1183","3,30","0,9634","3,18","3,44",2.0,INTERIOR,2019,20306,600,905276,,,,
905276,MARIA DE LOURDES MORAES COSTELA PROFA,ITU,SALTO,3º ANO EM,"3,2380","2,1740","2,71","0,9355","2,54","2,75",3.0,INTERIOR,2019,20306,600,905276,,,,
021118,JENI APPRILANTE PROFESSORA,CAPIVARI,RAFARD,9º ANO EF,"4,1670","3,6937","3,93","0,9795","3,85","4,06",2.0,INTERIOR,2019,20419,569,021118,,,,
021118,JENI APPRILANTE PROFESSORA,CAPIVARI,RAFARD,3º ANO EM,"3,9080","2,3860","3,15","0,9759","3,07","3,25",3.0,INTERIOR,2019,20419,569,021118,,,,
